,BBC Lifestyle  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC Lifestyle  Wednesday
0,12:00  -  12:14,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
1,12:30  -  12:44,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
2,13:15  -  13:29,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
3,12:15  -  12:29,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
4,10:30  -  10:44,82449714,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Muslim,Self employed,AB,"K 14,632 -  K 17,499",Yes,35 – 44,10:30  -  10:44
5,5:30  -  5:44,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
6,5:45  -  5:59,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
7,5:15  -  5:29,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
8,5:00  -  5:14,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
9,12:30  -  12:44,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,12:30  -  12:44
10,5:30  -  5:44,135166576,Central,Kabwe,Urban,Male,2,,DE,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"                                                                                                                                                                                                                                                                                                 5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       12:30  -  12:44                                      12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29                                                                  10:30  -  10:44                                    "
